トラック名	アーティスト名	アルバム名	アルバムアーティスト名	トラックの長さ（ミリ秒）	人気度	追加者	追加日時
Someone You Loved	Lewis Capaldi	Divinely Uninspired To A Hellish Extent	Lewis Capaldi	182160	88	5	2023/10/27 22:41
Anarchy	Official髭男dism	Anarchy	Official髭男dism	268431	47	5	2023/10/28 23:03
甲賀忍法帖	陰陽座	臥龍點睛	陰陽座	243053	49	2	2023/11/23 21:57
終わりで始まり	amazarashi	あんたへ	amazarashi	345080	32	1	2023/11/25 12:49
美しき思い出	amazarashi	千年幸福論	amazarashi	395493	25	3	2023/11/26 0:15
海洋生命	amazarashi	アンチノミー	amazarashi	199929	21	6	2023/11/26 9:55
さよならSilent Night - Full Spec Edition	桐生一馬(黒田崇矢)	龍が如く7 外伝 名を消した男 Original Soundtrack	SEGA SOUND TEAM	308426	22	4	2023/12/4 20:46
一番歌	"湘南乃風, 中田ヤスタカ"	一番歌	"湘南乃風, 中田ヤスタカ"	301906	39	5	2023/12/4 20:47
WHITE BREATH	T.M.Revolution	B☆E☆S☆T	T.M.Revolution	238333	54	4	2023/12/8 20:36
オレンジミント	物語シリーズ	歌物語2　-〈物語〉シリーズ主題歌集-	物語シリーズ	274133	28	7	2023/12/15 23:00
シルエット	KANA-BOON	TIME	KANA-BOON	240133	78	4	2023/12/18 22:32
クリスマス	amazarashi	ワンルーム叙事詩	amazarashi	349986	36	7	2023/12/19 23:17
ユメマカセ feat. Yojiro Noda	"SOIL & “PIMP” SESSIONS, 野田洋次郎"	ユメマカセ feat. Yojiro Noda	SOIL & “PIMP” SESSIONS	227420	21	1	2023/12/22 21:48
ランデヴー	シャイトープ	誘拐 / ランデヴー	シャイトープ	237739	60	3	2023/12/26 21:19
WHAT YOU WON'T DO FOR LOVE	ボビー・コールドウェル	BOBBY CALDWELL	ボビー・コールドウェル	286640	44	8	2023/12/27 11:19
Just the Two of Us	"Grover Washington\, Jr., Bill Withers"	Winelight	"Grover Washington\, Jr."	443773	72	1	2023/12/27 11:37
木枯らしセンティメント	物語シリーズ	歌物語 Special Edition	物語シリーズ	277466	30	7	2023/12/27 12:12
欲望に満ちた青年団	ONE OK ROCK	ゼイタクビョウ	ONE OK ROCK	202200	63	7	2023/12/27 15:20
君は薔薇より美しい	布施明	エッセンシャル・ベスト 布施明	布施明	182680	43	4	2024/1/5 23:45
Private Time	"ヒプノシスマイク -D.R.B- (入間銃兎), ヒプノシスマイク -D.R.B- (毒島メイソン理鶯)"	CROSS A LINE (Complete Edition)	ヒプノシスマイク -D.R.B- (Division All Stars)	196213	26	7	2024/1/6 0:15
チグリジア	"ヒプノシスマイク -D.R.B- (麻天狼), ヒプノシスマイク -D.R.B- (観音坂独歩)"	麻天狼-音韻臨床-	ヒプノシスマイク -D.R.B- (麻天狼)	220914	34	3	2024/1/9 20:27
魔法の言葉	Monkey Majik	BEST -A.RI.GA.TO-	Monkey Majik	212146	9	3	2024/1/12 1:35
SAKURA	Monkey Majik	BEST -A.RI.GA.TO-	Monkey Majik	264373	27	8	2024/1/12 1:35
Headlight	Monkey Majik	BEST -A.RI.GA.TO-	Monkey Majik	320000	16	4	2024/1/12 1:36
クリスマスキャロルの頃には - NORTH FLOW	"Monkey Majik, 稲垣潤一, GAGLE"	クリスマスキャロルの頃には (NORTH FLOW)	"Monkey Majik, 稲垣潤一, GAGLE"	338660	32	4	2024/1/15 17:54
Own Stage	"ヒプノシスマイク -D.R.B- (どついたれ本舗), ヒプノシスマイク -D.R.B- (躑躅森盧笙)"	あゝオオサカdreamin'night	ヒプノシスマイク -D.R.B- (どついたれ本舗)	227087	30	1	2024/1/15 23:08
I'm a mess	MY FIRST STORY	告白 - Confession	MY FIRST STORY	249480	60	3	2024/1/16 19:09
fast love	物語シリーズ	恋物語 劇伴音楽集	物語シリーズ	276480	25	7	2024/1/19 20:36
dark cherry mystery	物語シリーズ	歌物語2　-〈物語〉シリーズ主題歌集-	物語シリーズ	231120	28	5	2024/1/19 20:45
美しき残酷な世界	日笠陽子	美しき残酷な世界【通常盤】- EP	日笠陽子	296573	39	5	2024/1/19 21:54
時計台の鐘	eastern youth	時計台の鐘	eastern youth	253253	0	5	2024/1/19 22:01
はらぺこ日和 - Full Spec Edition	遥(釘宮 理恵)	龍が如く 維新! オリジナルサウンドトラック (Vol.2)	SEGA SOUND TEAM	196432	10	4	2024/1/23 17:08
ラブソング	amazarashi	ラブソング	amazarashi	279546	32	4	2024/1/25 17:52
September	アース・ウィンド＆ファイア	"Now, Then & Forever"	アース・ウィンド＆ファイア	221520	2	1	2024/1/29 14:57
etoile et toi [edition le blanc]	物語シリーズ	傷物語 劇伴音楽集	物語シリーズ	362586	13	1	2024/1/29 22:28
星界ちゃんと可不ちゃんのおつかい合騒曲	南ノ南	みなみのいずむ-20212022-	南ノ南	205466	31	3	2024/1/31 16:11
ニワカ雨ニモ負ケズ	NICO Touches the Walls	ニコ タッチズ ザ ウォールズ ノ ベスト	NICO Touches the Walls	261653	59	2	2024/2/3 13:09
Sleep Walking Orchestra	BUMP OF CHICKEN	Sleep Walking Orchestra	BUMP OF CHICKEN	235659	56	7	2024/2/4 12:56
FREEDOM	"西川貴教, 小室哲哉"	FREEDOM	西川貴教	318320	48	3	2024/2/4 12:56
The Good Life	Monkey Majik	The Good Life	Monkey Majik	186404	27	8	2024/2/5 15:45
消えるdaydream	河野 マリナ	歌物語 Special Edition	物語シリーズ	277773	20	2	2024/2/5 15:55
chocolate insomnia	物語シリーズ	歌物語 Special Edition	物語シリーズ	279280	29	1	2024/2/5 15:56
天体観測	BUMP OF CHICKEN	jupiter	BUMP OF CHICKEN	263600	65	5	2024/2/6 11:41
"Hello,world!"	BUMP OF CHICKEN	Butterflies	BUMP OF CHICKEN	248453	59	1	2024/2/6 11:41
snowdrop　-春奈るな×河野マリナver.-	春奈るな	歌物語 Special Edition	物語シリーズ	309093	21	8	2024/2/6 22:21
INVOKE -インヴォーク-	T.M.Revolution	1000000000000	T.M.Revolution	258532	53	3	2024/2/6 22:48
HOT LIMIT	T.M.Revolution	B☆E☆S☆T	T.M.Revolution	220000	54	2	2024/2/8 3:20
死ぬな！	こっちのけんと	死ぬな！	こっちのけんと	208042	53	2	2024/2/18 16:26
去り際のロマンティクス	See-Saw	劇場版『機動戦士ガンダムSEED FREEDOM』エンディングテーマ　去り際のロマンティクス	See-Saw	276160	42	1	2024/2/26 0:34
1・2・3	西川くんとキリショー	1・2・3	西川くんとキリショー	296416	36	3	2024/2/29 19:42
Meteor -ミーティア-	T.M.Revolution	coordinate	T.M.Revolution	250853	52	4	2024/3/13 9:49
望郷	中島美嘉	望郷	中島美嘉	231833	32	2	2024/3/13 9:50
俺たちの明日	エレファントカシマシ	俺たちの明日	エレファントカシマシ	375666	47	2	2024/3/20 22:06
Eye of the Tiger	Survivor	Eye Of The Tiger	Survivor	243773	78	1	2024/3/29 14:35
Count ZERO	T.M.Revolution	天	T.M.Revolution	240466	28	3	2024/4/10 20:57
ロキ	みきとP	DAISAN WAVE	みきとP	230400	55	3	2024/4/10 23:06
ウミユリ海底譚	n-buna	花と水飴、最終電車	n-buna	236068	53	8	2024/4/10 23:08
音偽バナシ (feat. 初音ミク)	"DECO*27, 初音ミク"	Conti New	DECO*27	228921	22	1	2024/4/10 23:09
命にふさわしい	amazarashi	命にふさわしい	amazarashi	359520	26	3	2024/4/10 23:16
あんなに一緒だったのに	See-Saw	あんなに一緒だったのに	See-Saw	288266	35	8	2024/4/15 22:24
かつて焼け落ちた町	amazarashi	七号線ロストボーイズ	amazarashi	288023	26	8	2024/5/10 7:20
SUN	星野 源	SUN	星野 源	243800	44	5	2024/5/28 11:04
さよならはエモーション	サカナクション	834.194	サカナクション	259000	54	8	2024/5/31 16:02
Goodbye My Lover	ジェイムズ・ブラント	Back to Bedlam	ジェイムズ・ブラント	258653	70	5	2024/6/2 10:21
アムスフィッシュ	サカナクション	Night Fishing	サカナクション	387943	36	7	2024/6/14 9:29
テレキャスター・ヒーロー	ORCALAND	HERO'S HIGH	ORCALAND	225960	22	7	2024/6/23 17:59
Journey	ORCALAND	Travel Notes	ORCALAND	231720	3	8	2024/6/23 19:42
反省している	ORCALAND	Travel Notes	ORCALAND	92853	10	1	2024/6/25 12:11
Please Please Please	サブリナ・カーペンター	Please Please Please	サブリナ・カーペンター	186365	80	6	2024/7/1 19:26
Scramble	Monkey Majik	Scramble	Monkey Majik	176053	19	1	2024/7/3 21:30
Into the Sky	"SawanoHiroyuki[nZk], Tielle"	2V-ALK	SawanoHiroyuki[nZk]	231480	48	8	2024/7/4 20:49
やめちまいてぇ	ORCALAND	やめちまいてぇ	ORCALAND	221813	5	3	2024/7/6 9:52
"Wake Up, Get Up, Get Out There"	Lyn	『ペルソナ5』オリジナル・サウンドトラック	アトラスサウンドチーム	277826	40	4	2024/7/6 17:27
Life Will Change	Lyn	『ペルソナ5』オリジナル・サウンドトラック	アトラスサウンドチーム	262026	44	5	2024/7/6 17:28
sky's the limit	平田志穂子	ペルソナ4　1	ペルソナ4	254400	42	4	2024/7/6 17:30
BREAK IN TO BREAK OUT	Lyn	BREAK IN TO BREAK OUT	Lyn	283240	43	7	2024/7/6 17:31
Dark Sun...	Lyn	Dark Sun...	Lyn	249440	41	7	2024/7/6 17:31
目が明く藍色	サカナクション	kikUUiki	サカナクション	414832	50	8	2024/7/8 13:12
ジュブナイル	amazarashi	ねえママ　あなたの言うとおり	amazarashi	269520	34	2	2024/7/13 4:35
輝きだして走ってく	サンボマスター	ラブ＆ピース！マスターピース！	サンボマスター	271666	49	7	2024/7/16 18:34
愛・おぼえていますか	ランカ・リー=中島愛	「マクロスF」VOCAL COLLECTION　娘たま♀	菅野よう子	297997	24	6	2024/7/18 13:27
ダイアモンド クレバス	シェリル・ノーム starring May'n   	「マクロスF」VOCAL COLLECTION　娘たま♀	菅野よう子	354640	21	8	2024/7/18 14:55
Pop Virus	星野 源	POP VIRUS	星野 源	182000	56	2	2024/7/23 10:20
Bicycle Race - Remastered 2011	クイーン	Jazz (2011 Remaster)	クイーン	180813	60	1	2024/7/31 9:56
Aoi	サカナクション	sakanaction	サカナクション	256120	60	7	2024/8/3 23:11
Black Bird	Aimer	Penny Rain	Aimer	227200	43	7	2024/8/5 12:31
ヒロイン	back number	シャンデリア	back number	269786	76	1	2024/8/6 0:03
雨男	amazarashi	夕日信仰ヒガシズム	amazarashi	342986	33	6	2024/8/14 13:11
ハルキオンザロード	amazarashi	地方都市のメメント・モリ	amazarashi	321400	25	7	2024/8/19 14:52
シュガーソングとビターステップ	UNISON SQUARE GARDEN	UNISON SQUARE GARDEN The 1st Collection for streaming	UNISON SQUARE GARDEN	253226	57	4	2024/8/21 14:22
フォトフレーム	ORCALAND	それならば-EP	ORCALAND	255546	3	1	2024/9/8 21:36
最近のこと	ORCALAND	Travel Notes	ORCALAND	323706	13	1	2024/9/9 21:16
タクシードライバー	amazarashi	世界収束二一一六	amazarashi	313480	26	4	2024/9/21 10:48
アイコトバ	サクラメリーメン	アイコトバ	サクラメリーメン	256105	21	8	2024/10/2 16:17
今宵の月のように	エレファントカシマシ	明日に向かって走れ-月夜の歌-	エレファントカシマシ	252706	62	6	2024/10/8 19:56
今晩はお月さん	ハンバート ハンバート	道はつづく	ハンバート ハンバート	225933	14	4	2024/10/8 19:57
愛す	クリープハイプ	愛す	クリープハイプ	257040	38	1	2024/10/16 21:26
ひとりごつ	ハチワレ(CV:田中 誠人)	ひとりごつ	ハチワレ(CV:田中 誠人)	90943	46	4	2024/10/30 8:14
眷戀	DizLike	眷戀	DizLike	252400	18	8	2024/11/7 22:55
YUBIKIRI-GENMAN	Mili	Mag Mell	Mili	235831	26	5	2024/11/7 23:21
βinαrΨ	Ring	pOst - Вавилон epoko	Ring	271955	31	7	2024/11/12 20:35
君のベストライフ	amazarashi	君のベストライフ	amazarashi	194526	25	7	2024/11/13 12:26
你說你	DizLike	眼淚養成計劃	DizLike	226199	16	3	2024/11/22 15:52
Leave The Door Open	"ブルーノ・マーズ, アンダーソン・パーク, Silk Sonic"	An Evening With Silk Sonic	"ブルーノ・マーズ, アンダーソン・パーク, Silk Sonic"	242096	70	7	2024/11/24 15:27
この街で生きている	amazarashi	アノミー	amazarashi	366693	17	6	2024/11/25 8:53
グッドバイ	サカナクション	834.194	サカナクション	283000	48	2	2024/11/25 11:22
夜の踊り子	サカナクション	sakanaction	サカナクション	302920	58	2	2024/12/1 18:31
it’s okay	LANA	it’s okay	LANA	146935	54	6	2024/12/1 22:46
女の子に戻るとき〜The dreaming girl in me〜	菊地成孔	オリジナル・サウンドトラック「機動戦士ガンダム　サンダーボルト」	菊地成孔	241440	34	5	2024/12/6 15:02
"ただ泣くだけ〜Oh god, I'm alone〜"	菊地成孔	オリジナル・サウンドトラック「機動戦士ガンダム　サンダーボルト」	菊地成孔	200746	33	7	2024/12/6 15:02
ただ二人だけ〜We're the only ones here in this world〜	菊地成孔	オリジナル・サウンドトラック「機動戦士ガンダム　サンダーボルト」	菊地成孔	214333	29	2	2024/12/6 15:02
可愛いあたし	"菊地成孔, 市川愛"	オリジナル・サウンドトラック「機動戦士ガンダム　サンダーボルト」2	菊地成孔	163133	9	6	2024/12/6 15:03
忘れられないの	サカナクション	834.194	サカナクション	238000	63	5	2024/12/12 10:44
Goodnight Goodnight	マルーン５	It Won't Be Soon Before Long (International Version)	マルーン５	243320	57	6	2024/12/20 9:58
Cigarette Daydreams	Cage The Elephant	Melophobia	Cage The Elephant	208760	79	7	2025/1/5 19:58
My Way - 2008 Remastered	フランク・シナトラ	Nothing But The Best (2008 Remastered)	フランク・シナトラ	276253	74	7	2025/1/5 20:02
Photograph	エド・シーラン	x (Deluxe Edition)	エド・シーラン	258986	87	5	2025/1/5 20:14
花痕 -shirushi-	河野 マリナ	歌物語 Special Edition	物語シリーズ	272946	24	3	2025/1/7 14:51
言葉にできない	小田和正	自己ベスト	小田和正	309773	30	3	2025/1/8 17:46
Good Luck	evening cinema	Good Luck	evening cinema	249471	5	8	2025/1/8 20:52
summertime	"cinnamons, evening cinema"	summertime	"cinnamons, evening cinema"	251818	46	7	2025/1/9 11:30
夜明けまえ	evening cinema	A HEART WAVE	evening cinema	233757	5	1	2025/1/9 11:31
嵐の中で輝いて	米倉千尋	25 YEARS AFTER ～All Time Best～	米倉千尋	256894	40	7	2025/1/10 16:25
瞬間センチメンタル	SCANDAL	TEMPTATION　BOX	SCANDAL	224626	57	2	2025/1/10 16:27
射手座☆午後九時Don't be late	シェリル・ノーム starring May'n   	「マクロスF」エンディングテーマ　ダイアモンド クレバス／挿入歌　射手座☆午後九時Don't be late	シェリル・ノーム starring May'n   	343154	39	8	2025/1/10 16:29
ヒューマノイド	ずっと真夜中でいいのに。	正しい偽りからの起床	ずっと真夜中でいいのに。	259320	27	7	2025/1/14 14:33
サターン	ずっと真夜中でいいのに。	正しい偽りからの起床	ずっと真夜中でいいのに。	250000	52	7	2025/1/14 14:33
白波トップウォーター	サカナクション	魚図鑑	サカナクション	330000	29	3	2025/1/19 0:41
Winter Wonderland	マイケル・ブーブレ	Christmas (Deluxe Special Edition)	マイケル・ブーブレ	149453	8	8	2025/1/19 0:52
幾億光年	Omoinotake	幾億光年	Omoinotake	276918	67	2	2025/1/20 16:31
ライオン	"May'n, 中島愛"	「マクロスF」VOCAL COLLECTION　娘たま♀	菅野よう子	305065	32	5	2025/1/20 17:09
Plazma	米津玄師	Plazma	米津玄師	180832	70	2	2025/1/23 15:05
WHITE REFLECTION	TWO-MIX	WHITE REFLECTION	TWO-MIX	288266	46	5	2025/1/24 14:20
粉雪	レミオロメン	HORIZON	レミオロメン	325773	66	1	2025/1/24 19:05
水の星へ愛をこめて	森口博子	水の星へ愛をこめて	森口博子	221666	0	4	2025/1/30 21:29
永遠にアムロ feat.影山ヒロノブ	"鮎川麻弥, 影山ヒロノブ"	Reply～Mami Ayukawa 25th Anniversary Best Album～	鮎川麻弥	202346	2	2	2025/1/30 21:30
I CAN'T DO ANYTHING-宇宙よ-	"服部隆之 Presents GUNDAM THE ORIGIN, AYA"	I CAN'T DO ANYTHING-宇宙よ-	服部隆之 Presents GUNDAM THE ORIGIN	324400	21	7	2025/1/30 21:35
宇宙の彼方で	森口博子	宇宙の彼方で	森口博子	335266	18	1	2025/1/30 21:36
永遠にアムロ / with VOJA	森口博子	Ubugoe	森口博子	192834	10	2	2025/2/2 20:56
痛覚	amazarashi	痛覚	amazarashi	269777	40	1	2025/2/5 19:17
私以外私じゃないの	ゲスの極み乙女	両成敗	ゲスの極み乙女	232613	57	2	2025/2/9 3:27
忘れないで 忘れないで	サンボマスター	忘れないで 忘れないで	サンボマスター	207013	36	2	2025/2/10 22:06
AURA	谷村新司	AURA	谷村新司	291733	18	7	2025/2/13 16:24
怪獣	サカナクション	怪獣	サカナクション	252722	74	3	2025/2/22 23:19
放課後オーバーフロウ	ランカ・リー=中島愛	「劇場版 マクロスF ～サヨナラノツバサ～」放課後オーバーフロウ	ランカ・リー=中島愛	329224	33	1	2025/2/25 15:38
私の彼はパイロット	ランカ・リー=中島愛	「マクロスF」VOCAL COLLECTION　娘たま♀	菅野よう子	166092	23	7	2025/2/25 15:38
め組のひと	ラッツ & スター	SOUL VACATION	ラッツ & スター	207840	52	6	2025/2/25 15:47
青い珊瑚礁	松田聖子	青い珊瑚礁	松田聖子	221000	52	6	2025/2/25 16:17
何度でも	ドリームズ・カム・トゥルー	THE LOVE ROCKS	ドリームズ・カム・トゥルー	232733	44	3	2025/2/27 14:57
ナイトメア	amazarashi	ゴースト	amazarashi	233889	34	5	2025/4/23 19:23
黎明期	amazarashi	ゴースト	amazarashi	233489	36	7	2025/4/23 19:23
おんなじ髑髏	amazarashi	ゴースト	amazarashi	299077	36	4	2025/4/23 19:23
小市民イーア	amazarashi	ゴースト	amazarashi	221525	36	5	2025/4/23 19:23
アンアライブ	amazarashi	ゴースト	amazarashi	247734	35	2	2025/4/23 19:23
収容室	amazarashi	ゴースト	amazarashi	288809	35	8	2025/4/23 19:24
どうなったって	amazarashi	ゴースト	amazarashi	340827	33	2	2025/4/23 19:24
夕日解放同盟	amazarashi	ゴースト	amazarashi	293947	30	8	2025/4/23 19:24
不眠症の見張り番	amazarashi	ゴースト	amazarashi	355669	32	4	2025/4/23 19:24
ゴースト	amazarashi	ゴースト	amazarashi	395821	36	2	2025/4/23 19:24
テノヒラスパイラル	ORCALAND	ぶちあげる-EP	ORCALAND	205480	8	1	2025/4/30 22:32
毒矢	名無し之太郎	毒矢	名無し之太郎	263693	17	7	2025/5/8 23:31
End of Beginning	Djo	DECIDE	Djo	159245	94	3	2025/5/21 15:40
それを言葉という	amazarashi	さよならごっこ	amazarashi	330720	25	7	2025/6/1 22:54
夏の日、残像	amazarashi	AKG TRIBUTE	ヴァリアス・アーティスト	240826	26	2	2025/6/7 15:18
花束	サンボマスター	花束	サンボマスター	328026	39	1	2025/6/9 11:05
君という花	KANA-BOON	君という花	KANA-BOON	368546	17	3	2025/6/12 19:50
Re:Re:	ASIAN KUNG-FU GENERATION	ソルファ	ASIAN KUNG-FU GENERATION	228760	62	3	2025/6/12 19:51
ロックンロール イズ ノットデッド	サンボマスター	ロックンロール イズ ノットデッド	サンボマスター	300306	43	2	2025/7/2 0:27
悲しみがとまらない　I CAN'T STOP THE LONELINESS	杏里	Timely!!	杏里	263706	70	3	2025/7/5 13:43
『バッハの旋律を夜に聴いたせいです。』	サカナクション	『バッハの旋律を夜に聴いたせいです。』	サカナクション	237300	39	7	2025/7/8 9:45
BEYOND THE TIME (メビウスの宇宙を越えて)	TM NETWORK	機動戦士ガンダム 逆襲のシャア オリジナル・サウンドトラック	三枝成彰	291973	42	2	2025/7/12 8:11
SAD!	XXXTENTACION	? (Deluxe)	XXXTENTACION	166605	47	1	2025/7/17 18:56
大阪LOVER	ドリームズ・カム・トゥルー	大阪LOVER	ドリームズ・カム・トゥルー	266560	67	1	2025/7/24 13:38
ZAYN - PILLOWTALK (Cover by Taka from ONE OK ROCK)	ONE OK ROCK	ZAYN - PILLOWTALK (Cover by Taka from ONE OK ROCK)		214000	0	4	2025/7/24 17:32
polyester (yes sir)	Sorry Ghost	polyester (yes sir)	Sorry Ghost	175779	35	6	2025/8/15 13:55
Spoken For	FLAVOR FOLEY	Spoken For	FLAVOR FOLEY	244782	69	3	2025/8/17 9:47
熱帯夜	RIP SLYME	熱帯夜	RIP SLYME	290893	50	5	2025/8/25 19:24
生活の果てに音楽が鳴る	amazarashi	痛覚	amazarashi	241631	35	5	2025/8/25 19:33
Highway to Hell	AC/DC	Highway to Hell	AC/DC	208110	87	7	2025/9/8 1:09
Baba O'Riley	ザ・フー	Who's Next (Deluxe Edition)	ザ・フー	300400	75	6	2025/9/11 22:09
Behind Blue Eyes	ザ・フー	Who's Next (Deluxe Edition)	ザ・フー	221426	70	7	2025/9/11 22:10
関係NIGHT FEVER	ORCALAND	HERO'S HIGH	ORCALAND	206080	17	3	2025/9/13 23:55
box breathing	Sorry Ghost	box breathing	Sorry Ghost	203206	40	5	2025/9/24 21:40
Don't Stop Me Now - Remastered 2011	クイーン	Jazz (2011 Remaster)	クイーン	209413	84	7	2025/9/29 12:00
I Was Born to Love You	フレディ・マーキュリー	Messenger Of The Gods: The Singles Collection	フレディ・マーキュリー	219373	58	5	2025/9/29 12:03
カワキヲアメク	美波	カワキヲアメク	美波	251933	72	1	2025/10/6 17:43
"Komm, süsser Tod／甘き死よ、来たれ(M-10 Director's Edit. Version)"	Arianne	NEON GENESIS EVANGELION SOUNDTRACK 25th ANNIVERSARY BOX	ヴァリアス・アーティスト	466333	42	5	2025/10/8 17:13
Stunner	Carter Vail	Stunner	Carter Vail	135666	44	1	2025/10/8 17:39
ハレルヤ	amazarashi	ラブソング	amazarashi	292826	30	8	2025/10/12 14:03
Lilium (From ''Elfen Lied'')	"Grissini Project, Kayo Konishi\, Yukio Kondō"	"Grissini Project : Musique de jeux vidéos, animés et films"	Grissini Project	246170	45	8	2025/10/21 20:12
Dive	エド・シーラン	÷ (Deluxe)	エド・シーラン	238440	77	3	2025/10/21 22:01
No.4	Chevon	Chevon	Chevon	206338	47	5	2025/10/27 14:41
エンディングテーマ	amazarashi	世界収束二一一六	amazarashi	369480	34	5	2025/10/29 9:01
なんでもないよ、	マカロニえんぴつ	ハッピーエンドへの期待は	マカロニえんぴつ	219252	69	5	2025/11/6 17:15
傀儡謡_怨恨みて散る	西田和枝社中	イノセンス　O.S.T.	川井憲次	220433	23	3	2025/11/7 16:00
傀儡謡_新世に神集ひて	西田和枝社中	イノセンス　O.S.T.	川井憲次	311900	21	6	2025/11/7 16:00
That's Life	フランク・シナトラ	That's Life	フランク・シナトラ	187040	74	6	2025/11/12 21:22
Cheek To Cheek	"エラ・フィッツジェラルド, ルイ・アームストロング"	Ella and Louis	"エラ・フィッツジェラルド, ルイ・アームストロング"	353266	64	7	2025/11/13 13:27
Fly Me To The Moon (In Other Words)	"フランク・シナトラ, カウント・ベイシー"	Sinatra/Basie: The Complete Reprise Studio Recordings	"フランク・シナトラ, カウント・ベイシー"	147000	74	4	2025/11/13 13:29
街のドルフィン	濱田金吾	midnight cruisin'	濱田金吾	232893	63	7	2025/11/21 19:58
ETERNAL WIND～ほほえみは光る風の中～	森口博子	ETERNAL WIND～ほほえみは光る風の中～	森口博子	285333	33	3	2025/12/6 0:20
隅田川	amazarashi	爆弾の作り方	amazarashi	380253	32	8	2025/12/12 7:33
悲しみ一つも残さないで	amazarashi	地方都市のメメント・モリ	amazarashi	351746	25	2	2025/12/12 7:37
what if we both loved each other still?	"88rising, Stephanie Poetri, PISCEE"	what if we both loved each other still?	"88rising, Stephanie Poetri, PISCEE"	235280	53	8	2025/12/24 15:58
Little Ray Of Light	Rich Brian	Little Ray Of Light	Rich Brian	179841	40	7	2025/12/24 16:01
